Executing: /usr/bin/kmutil showloaded
No variant specified, falling back to release
Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  134    0 0xffffff7f951fb000 0xfff      0xfff      com.apple.driver.AppleIntelSlowAdaptiveClocking (4.0.0) F1C609DC-0407-3D83-A000-45CFD02084D1 <133 6 3>
  135   16 0xffffff7f95639000 0x2effa    0x2effa    com.apple.iokit.IOGraphicsFamily (598) 79F2F7E4-E451-35E1-BF22-1EFFA4192888 <18 9 7 6 3 1>
  136    6 0xffffff7f94ad0000 0x4000     0x4000     com.apple.AppleGraphicsDeviceControl (8.1.9) 84CB0373-54F5-3BDF-A76B-6A9538BE7A90 <135 18 9 8 7 6 3 1>
  137    0 0xffffff7f94ac5000 0x6ff4     0x6ff4     com.apple.AppleGPUWrangler (8.1.9) 8451C6C1-C429-355A-8992-C7C15C00567C <136 135 18 9 8 7 6 3 1>
  138    0 0xffffff7f948e7000 0xd3000    0xd3000    com.apple.kext.AMDSupport (5.0.5) F7DBF59E-04AD-3531-92CF-55F127807D0C <136 135 18 17 9 7 6 3 1>
  139    0 0xffffff7f8cccc000 0x289ff8   0x289ff8   com.apple.kext.AMDRadeonX6000Framebuffer (5.0.5) 63B9D080-B8F5-3C13-8D62-7E308A0E8870 <136 135 18 17 9 7 6 3 1>
  140    2 0xffffff7f95b9c000 0x3000     0x3000     com.apple.kext.triggers (1.0) 5CC62F5F-4087-310E-BC9A-7F5840AA0704 <9 8 7 6 3 1>
  141    0 0xffffff7f959ff000 0x7ff5     0x7ff5     com.apple.filesystems.autofs (3.0) F31DF47C-FB70-3978-811D-0C760BE0F0ED <140 9 8 7 6 3 2 1>
  142    3 0xffffff7f9568d000 0x8ffc     0x8ffc     com.apple.iokit.IONDRVSupport (598) 351B4E2D-C260-3E0E-AD4C-C215DA3E2248 <135 18 9 7 6 3>
  143    0 0xffffff7f94d35000 0x13ff4    0x13ff4    com.apple.driver.AppleHV (1) 27B82193-F50A-3E41-A444-9D53B37FA3A6 <46 9 8 7 6 3 1>
  144    0 0xffffff7f94d4d000 0x5000     0x5000     com.apple.driver.AppleIPAppender (1.0) 4B703CD3-2587-3F49-BD11-6069A2F127C0 <55 53 9 8 7 6 3 1>
  145    1 0xffffff7f956e8000 0x4000     0x4000     com.apple.iokit.IORSMFamily (1) 95AE02FA-43A9-3D77-A0C6-8AEC408FE64D <7 6 3 1>
  146    0 0xffffff7f95256000 0x4ffc     0x4ffc     com.apple.driver.AppleRSMChannel (1) B85FE082-C4E6-3E30-A244-09DACB3E8347 <145 8 7 6 3 1>
  147    0 0xffffff7f952a5000 0x3ff4     0x3ff4     com.apple.driver.AppleSunrise (1) 5AE03C01-D39A-364B-91E7-8B536E7FE1EF <18 8 7 6 3 1>
  148    0 0xffffff7f95303000 0x3000     0x3000     com.apple.driver.AppleUIO (1) 55F92DC8-00E4-3CA7-8B26-FE614D2410BC <18 8 7 6 3 1>
  149    1 0xffffff7f94a1f000 0x5ffa     0x5ffa     com.apple.driver.AppleCallbackPowerSource (1) 2757748E-7905-3B59-AFA0-1E98B438C40B <8 7 6 3 1>
  150    0 0xffffff7f95682000 0x6ff7     0x6ff7     com.apple.driver.IOHIDPowerSource (1) 31620A30-DF4C-39D8-8EBE-BEEAC9170724 <149 77 8 7 6 3 1>
  151    0 0xffffff7f957c6000 0x14ff4    0x14ff4    com.apple.driver.usb.AppleUSBUserHCI (1) 8667F0CB-4E33-3612-95E9-8EA9C645BD86 <38 36 7 6 3 1>
